assignment_index,source_inscription_id,destination_address,drop_file,drop_metadata_source,drop_title,drop_ink_status,drop_radius,drop_noise_amp,drop_c_offset_0,drop_c_offset_1,drop_m_offset_0,drop_m_offset_1,drop_y_offset_0,drop_y_offset_1,drop_k_offset_0,drop_k_offset_1
1,d7ba51662ded4c4a097eadb3c8871fa28b6c3904675708c4a3b3fa5d83af3f36i2,bc1pgusmwx0aldrecv9a6zdkyz43jf5qnzl0376j0ntnpyh7kjctkhqqlhn6p5,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.1,3.46e-06,0.00199,0.00125,-0.00298,0.00845,-0.00745,0.000363,20000,20000
2,91ad667c728609d5a0d704e3b3d25f8466533f50fcb246e6553db567ddaaf2d7i4,bc1pe6gcmskymz8ld9u3mlepyhyuw9v4upjfjugznlmr23eje2f3s9lquc4yq3,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.05,5.6e-06,-0.00171,0.00206,0.00238,-0.00442,-0.00228,0.00199,20000,20000
3,f11777758bd06a70729fd2b5ef39d57f25aaef6b2642038bf47f2b19b1b94480i3,bc1pkgehtcrwku0l2zptwdwzl9kxkmjwq96hpyzpdx3l22h5h67tv0jqpq8298,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,3,2.29,5.29e-06,-0.000918,-0.000647,0.00622,0.00177,0.00197,-0.00306,20000,20000
4,11e236a83e9a29799629fa34c2a34c4a8577bc4a2d3727761bcd596742d08964i1,bc1p626uf4jxmjry8tnujrqzddqdclrjjzrzg682wgqcugdkexy966jsmy8vaa,./inscribed.html,b1ff3531357fc4703e14454c8cfc606c79f88f87f908ec0d34a3e7eb02a843adi0,Triumph of Science,6,2.2,0.000139,-0.00365,-0.00244,-0.00693,-0.00468,0.000233,-0.00233,20000,20000
5,db87fae07e7c84696c39fbc25a822a1f86ac228cd098305b545f939d8579b784i5,bc1p7nsphqx0vmy43wf8s3tr48mgke43cyfgd8lxrzmtay78s4nrv70qdwaxk4,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,1.99,1.4e-05,0.0032,-0.000203,-0.00268,0.00108,-0.00065,0.00665,20000,20000
6,1136309511b01a5ed3d6f5e51b3a21834a9729e2be8d2d2c4da645d8f73c6402i6,bc1ptn9v626vvaknc8vtmhh5w8c76q2zag7m74njj6lpehfavzewtx9qnlte0r,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.28,3.37e-06,0.00439,-0.00201,-0.00488,0.00259,-3.95E-05,0.00165,20000,20000
7,2fec9eb3234dc2fe225a9813056c83d927d8f4805b01867a0bc7a3ee6cd81968i2,bc1pnrmu8tnyf7gglqqfuqdft7yu27nza2hj6y0fa5t3697mqu7wur6sedjxhs,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.1,1.05e-05,0.000293,0.00393,0.00435,0.0014,0.00113,0.00108,20000,20000
8,f9c9d9c99d12ad183690f1d0ad18c811ff4e1d7b028449bcf0fa5f8f16ac4d67i1,bc1pgxne7ukda4gzcwzh4tqsegrrm9kevcf0l5uttuh2464fywfwnzsssrur5v,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.35,9.59e-06,0.00283,0.00586,-0.000843,-0.00274,-0.00204,-0.00326,20000,20000
9,07824ea577a544e7d5e0a83e8995dcb09ecd18fba1f5cc41fa323850762730c1i3,bc1p94p8wakn03tnmjxe3xu27nrgrzh7eq2u3dzsksqggeyenw609grq0egqyj,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.19,2.36e-05,8.79e-05,-0.00557,-0.00249,0.00224,0.00246,0.000536,20000,20000
10,07824ea577a544e7d5e0a83e8995dcb09ecd18fba1f5cc41fa323850762730c1i2,bc1ppzqha5sg83nmspen8xgy2yvc9pdws0dzjgxk8kmwel2m5ypfcd2q9cwkm5,./inscribed.html,fbab7ffde03428ed7c11dc268605241b6e33ea212229b03fb1d8f21e289fae54i0,Triumph of Bitcoin,0,2.28,1.43e-05,0.00205,3.44e-05,0.000807,0.0074,-0.00172,-0.000879,20000,20000
